,Date,Name,Symbol,Share,Weight,WK Change
88,2021-10-23,Honda Motor Co...,7267,"3,198,913",0.19,NA
89,2021-10-23,BHP Group plc,BHP,"3,887,535",0.19,10.46
90,2021-10-23,Kering SA,KER,"137,234",0.18,NA
91,2021-10-23,Vinci SA,DG,"937,961",0.18,0.20
92,2021-10-23,Daiichi Sankyo ..,4568,"3,512,169",0.18,NA
93,2021-10-23,UBS Group AG,UBSG,"6,089,899",0.18,NA
94,2021-10-23,Nidec Corp.,6594,"866,369",0.18,NA
95,2021-10-23,Nintendo Co. Lt..,7974,"200,765",0.18,NA
96,2021-10-23,Murata Manufact..,6981,"1,066,455",0.18,NA
97,2021-10-23,Prudential plc,PRU,"4,887,917",0.18,72.35
98,2021-10-23,Reckitt Benckis..,RKT,"1,186,745",0.18,-17.49
99,2021-10-23,Infosys Ltd.,INFY,"4,128,417",0.17,50.00
100,2021-10-23,Intesa Sanpaolo..,ISP,"31,132,283",0.17,NA
101,2021-10-23,Takeda Pharmace..,4502,"2,741,255",0.17,NA
102,2021-10-23,DSV A/S,DSV,"366,872",0.17,NA
103,2021-10-23,Reliance Indust..,RIGD,"1,339,632",0.17,NA
104,2021-10-23,Anheuser-Busch ..,ABI,"1,570,266",0.17,NA
105,2021-10-23,Air Liquide SA,N/A,"560,609",0.17,NA
106,2021-10-23,TC Energy Corp.,TRP,"1,832,507",0.17,30.49
107,2021-10-23,MediaTek Inc.,2454,"2,778,700",0.17,NA
108,2021-10-23,Canadian Imperi..,CM,"818,102",0.17,57.89
109,2021-10-23,Lloyds Banking ..,LLOY,"132,347,203",0.16,NA
110,2021-10-23,NIO Inc.,NIO,"2,423,247",0.16,39.55
111,2021-10-23,JD.com Inc.,JD,"1,145,620",0.16,0.53
112,2021-10-23,Samsung Electro..,5935,"1,423,189",0.16,NA
113,2021-10-23,Banco Bilbao Vi..,BBVA,"12,443,504",0.16,132.75
114,2021-10-23,Wesfarmers Ltd.,WES,"2,118,853",0.16,160.18
115,2021-10-23,SK Hynix Inc.,660,"965,576",0.16,NA
116,2021-10-23,Sika AG,SIKA,"264,592",0.16,NA
117,2021-10-23,Sumitomo Mitsui..,8316,"2,428,481",0.16,NA
118,2021-10-23,Pernod Ricard S..,RI,"388,987",0.16,NA
119,2021-10-23,Safran SA,SAF,"654,722",0.16,NA
120,2021-10-23,Industrial & Co..,1398,"150,821,655",0.16,NA
121,2021-10-23,Hon Hai Precisi..,2317,"22,509,823",0.16,NA
122,2021-10-23,Macquarie Group..,MQG,"623,502",0.15,NA
123,2021-10-23,National Grid p..,NG.,"6,651,946",0.15,NA
124,2021-10-23,Givaudan SA,GIVN,"17,261",0.15,NA
125,2021-10-23,NAVER Corp.,35420,"246,793",0.15,NA
126,2021-10-23,Canadian Natura..,CNQ,"2,169,388",0.15,152.24
127,2021-10-23,Canadian Pacifi..,CP,"1,248,823",0.15,20.67
128,2021-10-23,FANUC Corp.,6954,"358,610",0.15,NA
129,2021-10-23,Baidu Inc.,BIDU,"512,873",0.15,31.74
130,2021-10-23,Vodafone Group ..,VOD,"51,706,824",0.15,8.03
131,2021-10-23,Volkswagen AG,VOW3,"345,611",0.15,NA
132,2021-10-23,Anglo American ..,AAL,"2,297,897",0.15,50.26
133,2021-10-23,Hermes Internat..,RMS,"57,792",0.15,NA
134,2021-10-23,Barclays plc,BARC,"31,638,287",0.15,NA
135,2021-10-23,Muenchener Ruec..,MUV2,"262,115",0.14,NA
136,2021-10-23,Investor AB,INVE,"3,562,837",0.14,175.91
137,2021-10-23,Industria de Di..,ITX,"1,961,148",0.14,NA
138,2021-10-23,Experian plc,EXPN,"1,713,774",0.14,NA
139,2021-10-23,DBS Group Holdi..,D05,"3,386,134",0.14,NA
140,2021-10-23,Al Rajhi Bank,1120,"2,297,847",0.14,NA
141,2021-10-23,Atlas Copco AB,ATCO,"1,217,359",0.14,53.17
142,2021-10-23,Vestas Wind Sys..,VWS,"1,886,445",0.14,NA
143,2021-10-23,Ping An Insuran..,2318,"10,815,862",0.14,NA
144,2021-10-23,ITOCHU Corp.,8001,"2,528,728",0.14,NA
145,2021-10-23,Koninklijke Phi..,PHIA,"1,694,985",0.14,NA
146,2021-10-23,Danone SA,BN,"1,122,797",0.14,NA
147,2021-10-23,London Stock Ex..,LSEG,"679,196",0.13,NA
148,2021-10-23,Gazprom PJSC,OGZD,"6,827,148",0.13,NA
149,2021-10-23,Nordea Bank Abp,NDA,"5,225,418",0.13,NA
150,2021-10-23,Dassault System..,DSY,"1,273,212",0.13,NA
151,2021-10-23,Cellnex Telecom..,CLNX,"1,137,388",0.13,NA
152,2021-10-23,Compass Group p..,CPG,"3,328,217",0.13,290.70
153,2021-10-23,Alcon Inc.,ALC,"859,178",0.13,36.04
154,2021-10-23,Woolworths Grou..,WOW,"2,373,745",0.13,296.14
155,2021-10-23,SoftBank Corp.,9434,"5,063,539",0.13,NA
156,2021-10-23,Vale SA,VALE3,"4,835,953",0.13,NA
157,2021-10-23,Fast Retailing ..,9983,"95,762",0.13,NA
158,2021-10-23,Mizuho Financia..,8411,"4,749,270",0.13,NA
159,2021-10-23,Mitsubishi Corp..,8058,"2,237,872",0.13,NA
160,2021-10-23,Sberbank of Rus..,SBER,"14,792,356",0.13,NA
161,2021-10-23,Xiaomi Corp.,1810,"24,764,568",0.13,NA
162,2021-10-23,Saudi National ..,1180,"4,118,948",0.13,NA
163,2021-10-23,SMC Corp.,6273,"106,431",0.13,NA
164,2021-10-23,Nutrien Ltd.,NTR,"1,066,557",0.13,67.90
165,2021-10-23,Manulife Financ..,MFC,"3,629,630",0.13,43.90
166,2021-10-23,Naspers Ltd.,NPN,"395,500",0.12,11.98
167,2021-10-23,L'Oreal SA,OR,"159,369",0.12,2.22
168,2021-10-23,Eni SPA,ENI,"4,702,102",0.12,NA
169,2021-10-23,Telefonaktiebol..,ERIC,"5,661,818",0.12,-6.91
170,2021-10-23,Capgemini SE,CAP,"295,227",0.12,795.00
171,2021-10-23,CRH plc,CRH,"1,398,761",0.12,26.04
172,2021-10-23,Ashtead Group p..,AHT,"837,297",0.12,-21.29
173,2021-10-23,Seven & i Holdi..,3382,"1,437,959",0.12,NA
174,2021-10-23,Koninklijke Aho..,AD,"1,833,215",0.12,NA
175,2021-10-23,Vonovia SE,VNA,"1,077,093",0.12,NA
176,2021-10-23,Volvo AB,VOLV,"2,888,998",0.12,NA
177,2021-10-23,Waste Connectio..,WCN,"492,121",0.12,31.14
178,2021-10-23,Nippon Telegrap..,9432,"2,258,349",0.12,NA
179,2021-10-23,Tokio Marine Ho..,8766,"1,207,470",0.12,NA
180,2021-10-23,Mitsui & Co. Lt..,8031,"2,976,870",0.12,NA
181,2021-10-23,Pinduoduo Inc.,PDD,"694,655",0.12,9.78
182,2021-10-23,Partners Group ..,PGHN,"41,972",0.12,NA
183,2021-10-23,Fujitsu Ltd.,6702,"352,239",0.12,NA
184,2021-10-23,Koninklijke DSM..,DSM,"310,575",0.12,9.97
185,2021-10-23,Nokia Oyj,NOKIA,"10,546,146",0.11,NA
186,2021-10-23,Samsung SDI Co...,6400,"98,359",0.11,NA
187,2021-10-23,Infosys Ltd.,INFY,"2,634,533",0.11,50.00
188,2021-10-23,LG Chem Ltd.,51910,"86,230",0.11,NA
189,2021-10-23,Ferguson plc,FERG,"419,349",0.11,41.43
190,2021-10-23,Deutsche Boerse..,DB1,"344,429",0.11,NA
191,2021-10-23,Astellas Pharma..,4503,"3,471,316",0.11,NA
192,2021-10-23,Terumo Corp.,4543,"1,231,331",0.11,NA
193,2021-10-23,Oriental Land C..,4661,"349,937",0.11,NA
194,2021-10-23,FUJIFILM Holdin..,4901,"660,326",0.11,NA
195,2021-10-23,Bayerische Moto..,BMW,"607,659",0.11,NA
196,2021-10-23,China Merchants..,3968,"7,471,341",0.11,NA
197,2021-10-23,Constellation S..,CSU,"36,261",0.11,237.83
198,2021-10-23,Alimentation Co..,ATD.B,"1,483,827",0.11,NA
199,2021-10-23,M3 Inc.,2413,"789,011",0.11,NA
200,2021-10-23,Suncor Energy I..,SU,"2,773,406",0.11,98.61
201,2021-10-23,Cie de Saint-Go..,SGO,"890,351",0.11,NA
202,2021-10-23,Sun Life Financ..,SLF,"1,092,133",0.11,37.05
203,2021-10-23,RELX plc,REL,"1,991,929",0.11,NA
204,2021-10-23,Hindustan Unile..,HINDUNILVR,"1,661,234",0.11,NA
205,2021-10-23,Legrand SA,LR,"502,668",0.10,NA
206,2021-10-23,Oversea-Chinese..,O39,"6,575,602",0.10,NA
207,2021-10-23,Hexagon AB,HEXA,"3,342,329",0.10,NA
208,2021-10-23,Kone Oyj,KNEBV,"734,853",0.10,NA
209,2021-10-23,Assicurazioni G..,G,"2,426,808",0.10,37.97
210,2021-10-23,Goodman Group,GMG,"3,402,502",0.10,NA
211,2021-10-23,Kao Corp.,4452,"863,783",0.10,NA
212,2021-10-23,Bridgestone Cor..,5108,"1,078,402",0.10,NA
213,2021-10-23,Bank of China L..,3988,"147,386,284",0.10,NA
214,2021-10-23,Amadeus IT Grou..,AMS,"800,079",0.10,50.79
215,2021-10-23,Wolters Kluwer ..,WKL,"491,196",0.10,NA
216,2021-10-23,UniCredit SPA,UCG,"4,074,594",0.10,NA
217,2021-10-23,STMicroelectron..,STM,"1,186,838",0.10,28.48
218,2021-10-23,Transurban Grou..,TCL,"5,124,899",0.10,NA
219,2021-10-23,Central Japan R..,9022,"339,597",0.10,NA
220,2021-10-23,Denso Corp.,6902,"850,284",0.10,NA
221,2021-10-23,Mitsubishi Elec..,6503,"3,695,226",0.10,NA
222,2021-10-23,Novatek PJSC,NVTK,"1,995,332",0.10,NA
223,2021-10-23,Merck KGaA,MRK,"242,349",0.10,3.95
224,2021-10-23,LUKOIL PJSC,LKOD,"509,946",0.09,NA
225,2021-10-23,Orsted AS,ORSTED,"351,890",0.09,NA
226,2021-10-23,National Bank o..,NA,"626,705",0.09,NA
227,2021-10-23,Heineken NV,HEIA,"442,311",0.09,NA
228,2021-10-23,Kweichow Moutai..,600519,"164,825",0.09,NA
229,2021-10-23,KBC Group NV,KBC,"516,671",0.09,NA
230,2021-10-23,Evolution AB,EVO,"301,303",0.09,0.00
231,2021-10-23,Franco-Nevada C..,FNV,"355,406",0.09,1.98
232,2021-10-23,Geberit AG,GEBN,"63,745",0.09,NA
233,2021-10-23,Societe General..,GLE,"1,450,882",0.09,NA
234,2021-10-23,Genmab A/S,GMAB,"111,463",0.09,32.12
235,2021-10-23,Deutsche Bank A..,DBK,"3,820,731",0.09,NA
236,2021-10-23,Shiseido Co. Lt..,4911,"725,784",0.09,NA
237,2021-10-23,E.ON SE,EOAN,"4,053,780",0.09,NA
238,2021-10-23,Equinor ASA,EQNR,"1,805,065",0.09,95.74
239,2021-10-23,Kakao Corp.,35720,"500,789",0.09,NA
240,2021-10-23,Air Liquide SA,AI,"308,241",0.09,"1,627.65"
241,2021-10-23,America Movil S..,AMXL,"55,703,293",0.09,NA
242,2021-10-23,Assa Abloy AB,ASSA,"1,714,163",0.09,NA
243,2021-10-23,BAE Systems plc,BA.,"6,099,491",0.09,NA
244,2021-10-23,Bajaj Finance L..,BAJFINANCE,"438,629",0.09,NA
245,2021-10-23,Tesco plc,TSCO,"14,333,781",0.09,39.63
246,2021-10-23,United Overseas..,U11,"2,426,912",0.09,NA
247,2021-10-23,Swiss Re AG,SREN,"539,384",0.09,0.00
248,2021-10-23,Li Ning Co. Ltd..,2331,"4,018,628",0.09,NA
249,2021-10-23,East Japan Rail..,9020,"676,319",0.09,NA
250,2021-10-23,Saudi Arabian O..,2222,"4,762,032",0.09,NA
251,2021-10-23,Rio Tinto Ltd.,RIO,"696,242",0.09,9.40
252,2021-10-23,Canon Inc.,7751,"1,861,640",0.09,NA
253,2021-10-23,Sampo Oyj,SAMPO,"944,572",0.09,NA
254,2021-10-23,Sandvik AB,SAND,"2,009,767",0.09,-22.53
255,2021-10-23,Ferrari NV,RACE,"227,879",0.09,17.41
256,2021-10-23,BYD Co. Ltd.,1211,"1,469,655",0.09,NA
257,2021-10-23,Techtronic Indu..,669,"2,337,274",0.09,NA
258,2021-10-23,Panasonic Corp.,6752,"3,982,684",0.09,NA
259,2021-10-23,Cie Generale de..,ML,"326,996",0.09,-30.59
260,2021-10-23,Legal & General..,LGEN,"11,089,099",0.08,NA
261,2021-10-23,NetEase Inc.,NTES,"519,296",0.08,15.87
262,2021-10-23,Neste Oyj,NESTE,"776,320",0.08,NA
263,2021-10-23,Hyundai Motor C..,5380,"260,399",0.08,NA
264,2021-10-23,Delivery Hero S..,DHER,"352,018",0.08,NA
265,2021-10-23,Chugai Pharmace..,4519,"1,217,221",0.08,NA
266,2021-10-23,DNB Bank ASA,DNB,"1,923,290",0.08,-30.80
267,2021-10-23,Credit Suisse G..,CSGN,"4,477,391",0.08,NA
268,2021-10-23,Aristocrat Leis..,ALL,"1,195,868",0.08,41.03
269,2021-10-23,Axis Bank Ltd.,AXISBANK,"4,265,577",0.08,NA
270,2021-10-23,Bank Central As..,BBCA,"18,128,199",0.08,26.49
271,2021-10-23,Barrick Gold Co..,ABX,"2,264,985",0.08,NA
272,2021-10-23,Fubon Financial..,2881,"15,119,447",0.08,NA
273,2021-10-23,Japan Tobacco I..,2914,"2,197,775",0.08,NA
274,2021-10-23,Teleperformance,TEP,"108,845",0.08,0.00
275,2021-10-23,SSE plc,SSE,"1,955,234",0.08,NA
276,2021-10-23,Telefonica SA,TEF,"9,274,458",0.08,22.16
277,2021-10-23,ORIX Corp.,8591,"2,292,721",0.08,NA
278,2021-10-23,Dai-ichi Life H..,8750,"1,952,325",0.08,NA
279,2021-10-23,Mitsui Fudosan ..,8801,"1,726,885",0.08,NA
280,2021-10-23,RELX plc,REN,"1,494,869",0.08,0.00
281,2021-10-23,Daiwa House Ind..,1925,"1,199,729",0.08,NA
282,2021-10-23,Saudi Basic Ind..,2010,"1,266,740",0.08,NA
283,2021-10-23,ANTA Sports Pro..,2020,"2,116,673",0.08,NA
284,2021-10-23,Shimano Inc.,7309,"146,860",0.08,NA
285,2021-10-23,Olympus Corp.,7733,"1,972,579",0.08,NA
286,2021-10-23,RWE AG,RWE,"1,177,013",0.08,NA
287,2021-10-23,Celltrion Inc.,68270,"196,464",0.08,NA
288,2021-10-23,Sysmex Corp.,6869,"354,018",0.08,NA
289,2021-10-23,Qatar National ..,QNBK,"8,283,838",0.08,NA
290,2021-10-23,Komatsu Ltd.,6301,"1,712,709",0.08,NA
291,2021-10-23,Kubota Corp.,6326,"2,034,270",0.08,NA
292,2021-10-23,National Bank o..,NBK,"12,846,014",0.08,NA
293,2021-10-23,Magna Internati..,MG,"524,720",0.07,140.60
294,2021-10-23,Orange SA,ORA,"3,595,902",0.07,1.79
295,2021-10-23,LafargeHolcim L..,HOLN,"793,479",0.07,NA
296,2021-10-23,Intact Financia..,IFC,"265,985",0.07,NA
297,2021-10-23,Imperial Brands..,IMB,"1,758,852",0.07,NA
298,2021-10-23,Kerry Group plc,KRZ,"287,360",0.07,NA
299,2021-10-23,First Abu Dhabi..,FAB,"8,171,021",0.07,41.97
300,2021-10-23,Flutter Enterta..,FLTR,"193,887",0.07,2.60
301,2021-10-23,Fresenius SE & ..,FRE,"761,739",0.07,NA
